,Unnamed: 0,Country Name,Region,Happiness Score,Year,Income Group,Lending Category,Other Groups,EG.ELC.ACCS.ZS,SE.PRM.TENR,NY.ADJ.NNTY.KD.ZG,NY.ADJ.NNTY.PC.KD.ZG,NY.ADJ.AEDU.GN.ZS,NY.ADJ.ICTR.GN.ZS,SP.POP.DPND,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,GC.XPN.TOTL.GD.ZS,SH.XPD.EHEX.CH.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDS.TOTL.ZS,SE.ADT.1524.LT.ZS,NV.IND.MANF.KD.ZG,SH.DYN.NMRT,SH.DYN.MORT,SP.POP.TOTL,SE.SEC.ENRL.TC.ZS,SE.PRM.ENRL.TC.ZS,EG.FEC.RNEW.ZS,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,NE.TRD.GNFS.ZS,SL.UEM.TOTL.NE.ZS,FP.WPI.TOTL
10,10,Angola,Middle East & North Africa,3.866,2016,Upper middle income,IBRD,,40.52060699,,2.615013935,-0.7830828670000001,3.57,3.061930884,97.27421168,41.819,8.513,,,17.51166354,,101124000000.0,-2.580097243,30.09352228,,11.63811056,29.9,84.6,28813463,26.76619,,,1246700.0,9.732512234,53.37015528,,
11,11,Angola,Middle East & North Africa,3.795000076,2017,Upper middle income,IBRD,,41.260303495,,,,,,96.89851806,,,,,16.67113715,,122124000000.0,-0.147207422,29.88168324,,,29.1,81.1,29784193,,,,1246700.0,9.223777454,52.25682145,,
12,12,Argentina,Sub-Saharan Africa,6.574,2015,Upper middle income,IBRD,,99.99520874,99.7343,2.193566659,1.166753246,5.057313905,14.60355782,56.54900705,17.364,7.57,30.04134,41.33272,25.00839323,0.57692067,594749000000.0,2.731159828,15.9957829,99.5597,0.765932391,6.7,11.4,43417765,,,10.04007761,2780400.0,12.33650694,22.48622609,,
13,13,Argentina,Sub-Saharan Africa,6.65,2016,Upper middle income,IBRD,,100.0,99.34152,-2.172171022,-3.1307949180000003,5.057313905,13.96123633,56.54224643,17.172,7.564,30.07402,40.93612,26.30591502,,554861000000.0,-1.82254217,16.07277345,99.50271,-5.1994182460000005,6.3,10.9,43847430,,,,2780400.0,12.15550537,26.12191381,,
14,14,Argentina,Sub-Saharan Africa,6.598999977,2017,Upper middle income,IBRD,,99.99760437,,,,,,56.45476468,,,,,24.52265152,,637430000000.0,2.854466137,15.98230204,,3.031910088,5.9,10.4,44271041,,,,2780400.0,11.04780108,25.02083649,8.347399712,
15,15,Armenia,Latin America & Caribbean,4.35,2015,High income: nonOECD,IBRD,,100.0,92.80933,-2.106390225,-2.466491849,2.700192847,17.42676423,44.41225877,13.808,9.694,19.3593,,25.07798135,1.0829008999999998,10553337673.0,3.2,8.808285265,,-5.5,7.4,14.0,2916950,,,15.79200384,29740.0,20.93122083,71.59326535,,
16,16,Armenia,Latin America & Caribbean,4.36,2016,High income: nonOECD,IBRD,,100.0,92.32759,-2.182667955,-2.445737883,2.700192847,15.86417449,44.89494332,13.456,9.688,20.66574,51.07427,25.71151816,,10546135160.0,0.2,9.249531333,,11.1,7.0,13.3,2924816,,,,29740.0,21.27737528,75.91788003,,
17,17,Armenia,Latin America & Caribbean,4.375999928,2017,High income: nonOECD,IBRD,,100.0,92.39764,,,,,45.43154526,,,,,22.61181188,,11536590636.0,7.5,8.433638124,,5.9,6.7,12.6,2930450,,,,29740.0,20.76420393,86.86809418,17.7045002,
18,18,Australia,Europe & Central Asia,7.284,2015,Lower middle income,IBRD,,100.0,97.1201,1.401755487,-0.072012123,4.917262658,23.60243089,51.0854579,12.8,6.6,31.784340000000004,30.52541,26.78956016,0.0,1349030000000.0,2.351136441,24.62187092,,-1.4156940340000002,2.3,3.8,23850784,,,9.18050296,7741220.0,22.04280981,41.54738733,6.055699825,
19,19,Australia,Europe & Central Asia,7.313,2016,Lower middle income,IBRD,,100.0,96.783,0.53679269,-0.958232065,4.917262658,21.90645589,51.86304832,12.5,6.5,,,26.96263687,,1208040000000.0,2.8273105110000003,23.03013249,,-2.362021487,2.2,3.7,24210809,,,,7741220.0,22.28929311,40.77147319,5.710800171,
20,20,Australia,Europe & Central Asia,7.28399992,2017,Lower middle income,IBRD,,100.0,,,,,,52.70933633,,,,,26.70670715,,1323420000000.0,1.957575422,24.63612511,,-1.799475649,2.1,3.5,24598933,,,,7741220.0,22.21317996,41.89297006,5.593800067999999,
21,21,Austria,East Asia & Pacific,7.2,2015,High income: OECD,,,100.0,,0.8621176709999999,-0.262225431,5.218720496,25.67132514,49.16566664,9.8,9.6,16.56793,39.87736,46.19152536,,382066000000.0,1.091854232,27.49975566,,0.647181389,2.3,3.7,8642699,9.57663,10.58415,34.39499175,83879.00391,26.77938724,102.1360104,5.722700119,
22,22,Austria,East Asia & Pacific,7.119,2016,High income: OECD,,,100.0,,2.113296263,1.014996049,5.218720496,26.02587354,49.52983685,10.0,9.2,,,45.57307208,,390800000000.0,1.4509154380000002,27.29421474,,1.291329875,2.2,3.6,8736668,9.41777,10.30374,,83879.00391,25.66657247,101.1670127,6.013800144,
23,23,Austria,East Asia & Pacific,7.006000042,2017,High income: OECD,,,100.0,,,,,,49.90963775,,,,,,,416596000000.0,3.035272679,28.3679887,,6.755393565,2.2,3.6,8809212,,,,83879.00391,,104.7077719,5.499000072,
24,24,Azerbaijan,Europe & Central Asia,5.2120000000000015,2015,High income: OECD,,Euro area,100.0,94.26275,,,2.607015418,28.59109432,40.15141744,17.2,5.7,,55.66633,24.78870908,0.51146978,53074370486.0,1.099999809,30.90161824,99.94278,7.700003951,13.6,26.4,9649341,,13.49787,2.310757686,86600.0,15.60316293,72.60150791,4.960000038,
25,25,Azerbaijan,Europe & Central Asia,5.291,2016,High income: OECD,,Euro area,100.0,94.96529,,,2.607015418,22.8174167,40.8816026,16.3,5.8,,72.42741,,,37867518957.0,-3.100000202,28.45948379,99.94048,-1.599497378,12.6,24.6,9757812,7.12627,15.48619,,86600.0,,90.07731873,5.0,
26,26,Azerbaijan,Europe & Central Asia,5.234000206,2017,High income: OECD,,Euro area,100.0,94.05446,,,,,41.43318255,,,,,,,40747792238.0,0.099999814,30.860867100000004,,-1.800000552,11.8,23.0,9862429,7.3865,15.458,,86600.0,,90.6635907,5.0,
27,27,Bahrain,Europe & Central Asia,5.96,2015,Upper middle income,IBRD,,100.0,97.99544,8.208134868,5.411305723,2.91,,30.16430711,15.111,2.3480000000000003,32.98692,44.22464,,,31125851064.0,2.861967825,37.29984312,,3.2013346,3.2,7.6,1371855,9.86281,11.73164,0.0,778.0000305,,154.0673928,,
28,28,Bahrain,Europe & Central Asia,6.218,2016,Upper middle income,IBRD,,100.0,97.90026,1.934933943,-1.878477176,2.91,,29.25654209,14.762,2.359,,,,,32152686170.0,3.215933639,37.87157521,,5.20937806,3.2,7.5,1425171,9.79181,12.05837,,778.0000305,,139.55354309999998,,
29,29,Bahrain,Europe & Central Asia,6.086999893,2017,Upper middle income,IBRD,,100.0,98.86201,,,,,28.35954129,,,,,,,35307127660.0,3.884830534,,,1.049727475,3.1,7.3,1492584,10.1467,12.15924,,778.0000305,,,,
30,30,Bangladesh,Middle East & North Africa,4.694,2015,High income: nonOECD,,,68.2046814,,6.05434546,4.873012467,1.7386712919999998,33.85177628,52.57851108,19.29,5.312,,,9.00588487,10.9610269,195079000000.0,6.552652796,22.15847014,87.88877,10.31057687,20.7,36.4,161200886,,,34.74706901,147630.0,8.498348828,42.08599631,,
31,31,Bangladesh,Middle East & North Africa,4.643,2016,High income: nonOECD,,,75.92,,6.53161819,5.38709319,1.653366081,35.09996818,51.46542347,18.95,5.284,,64.32826999999999,9.418916281,,221415000000.0,7.113489474,24.97774926,92.24265,11.6908152,19.5,34.3,162951560,36.192,,,147630.0,8.765027652,37.95429635,4.349999905,
32,32,Bangladesh,Middle East & North Africa,4.607999802,2017,High income: nonOECD,,,72.0623407,95.14922,,,,,50.30406155,,,,,,,249724000000.0,7.284184092,25.32925144,92.95076,10.96520759,18.4,32.4,164669751,33.98251,30.05456,,147630.0,,35.30400009,4.372300148,
33,33,Belarus,South Asia,5.813,2015,Lower middle income,IDA,,100.0,94.63606,-6.807323801,-6.955662297999999,4.92641553,26.90308894,43.82544795,12.5,12.6,,,28.11049921,0.40098554,56454734397.0,-3.829570558,32.20089109,,-6.33695583,1.7,4.1,9489616,8.36258,17.57007,6.770869532000001,207600.0,14.17309447,115.9148262,1.0,
34,34,Belarus,South Asia,5.8020000000000005,2016,Lower middle income,IDA,,100.0,96.42555,-15.68652779,-15.79228418,4.92641553,22.80594633,44.96682397,12.4,12.6,,,29.4170538,,47749057078.0,-2.526446436,29.83707043,,-0.050018308,1.6,3.9,9501534,8.29763,18.33759,,207600.0,13.78823561,125.2093229,5.840000152999999,
35,35,Belarus,South Asia,5.568999767,2017,Lower middle income,IDA,,100.0,96.0131,,,,,46.07265566,,,,50.45858,29.47468124,,54456465473.0,2.421904374,30.51568931,,6.951049674,1.5,3.7,9507875,8.17537,18.80255,,207600.0,13.0869724,134.1053622,5.650000095,
36,36,Belgium,Europe & Central Asia,6.937,2015,Upper middle income,IBRD,,100.0,98.38075,1.204603673,0.619873136,6.22215991,23.188446,54.19360574,10.8,9.8,,,42.01150161,0.0,455040000000.0,1.426956809,24.93716038,,3.429633242,2.2,4.0,11274196,9.42496,11.23127,9.201640531,30530.0,24.66737592,160.2293253,8.482000351,
37,37,Belgium,Europe & Central Asia,6.9289999999999985,2016,Upper middle income,IBRD,,100.0,98.66219,2.36894664,1.85196251,6.22215991,23.85386431,54.79839391,10.8,9.5,,,41.44508722,,467546000000.0,1.412292015,25.28243749,,0.34941143,2.1,3.9,11331422,9.14736,11.30569,,30530.0,23.13602613,164.5447026,7.829699992999999,
38,38,Belgium,Europe & Central Asia,6.890999794,2017,Upper middle income,IBRD,,100.0,,,,,,55.43842614,,,,,,,492681000000.0,1.729766762,25.32947427,,-0.465969475,2.1,3.8,11372068,,,,30530.0,,169.4027115,7.086200237000001,
39,39,Belize,Europe & Central Asia,5.9559999255000005,2015,High income: OECD,,Euro area,91.8,99.21942,8.640430087999999,6.3441790970000005,6.39,12.73050157,56.78067427,22.739,5.523,32.90297,41.17408,,5.489007599999999,1762500450.0,3.431950484,15.12967273,,-14.65217631,9.6,15.6,359288,16.30319,20.43642,35.0236296,22970.0,,122.3304113,7.578199862999999,
40,40,Belize,Europe & Central Asia,5.956,2016,High income: OECD,,Euro area,92.21431732,99.17624,-3.835274207,-5.844242055,6.39,,55.6604734,22.534,5.483,33.031490000000005,41.67663,,,1806646250.0,-0.58802365,10.34679036,,-7.538252382,9.2,14.9,366954,18.40628,20.50666,,22970.0,,112.2198743,7.909999847000001,
41,41,Belize,Europe & Central Asia,5.9559998510000005,2017,High income: OECD,,Euro area,92.00715866,99.2738,,,,,54.49616111,,,31.764640000000004,40.98796,,,1862614800.0,1.437288946,14.11735266,,0.99929824,8.8,14.2,374681,16.5581,19.58631,,22970.0,,111.8271019,6.595499992000001,
42,42,Benin,Latin America & Caribbean,3.34,2015,Upper middle income,IBRD,,40.03347778,,1.554764889,-1.222639944,4.010592217,15.849534699999998,86.09778484,37.431,9.319,49.80869000000001,23.73528,,34.23423794,8291155881.0,2.095808383,14.39699825,,8.155136268,33.7,103.7,10575952,10.32268,45.04478,50.86261794,114760.0,,58.79788478,,
43,43,Benin,Latin America & Caribbean,3.484,2016,Upper middle income,IBRD,,41.40261459,,-0.265888922,-2.984339509,4.010592217,21.0817539,85.53419055,37.026,9.172,,,,,8573159697.0,3.96485991,10.68575521,,4.628125606,33.1,101.0,10872298,10.99168,41.63992,,114760.0,,61.09065665,,
44,44,Benin,Latin America & Caribbean,3.657000065,2017,Upper middle income,IBRD,,40.718046185,97.03366,,,,,84.88576752,,,,,,,9246696924.0,5.837823305,10.84084725,,7.1749426110000005,32.7,98.3,11175692,,43.56977,,114760.0,,67.57712844,,
45,45,Bhutan,Sub-Saharan Africa,5.252999999999999,2015,Low income,IDA,HIPC,98.42352295,84.61948000000002,3.354964319,1.919205238,6.945663474,22.56365889,47.26964628,18.46,6.042999999999998,,41.49114,18.86640469,5.27929865,2059809920.0,6.644564258,23.96827314,,4.4142115230000005,18.3,33.4,787386,12.14578,40.00443,86.90454832,38393.99902,13.76607075,96.41821166,2.450000048,
46,46,Bhutan,Sub-Saharan Africa,5.1960000000000015,2016,Low income,IDA,HIPC,100.0,82.99547,6.413242007999999,5.028795411,6.945663474,33.19712117,46.46301454,18.165,6.022,,,16.569935,,2219675781.0,8.022101221,32.58886612,,2.423097295,17.6,32.0,797765,11.41873,38.03778,,38393.99902,13.12213639,77.68976254,,
47,47,Bhutan,Sub-Saharan Africa,5.011000156000001,2017,Low income,IDA,HIPC,99.211761475,81.94659,,,,,45.84616274,,,,,,,2528007911.0,4.629101391,30.79734057,,5.503314404,16.9,30.8,807610,11.0089,34.562940000000005,,38393.99902,,78.64533616,,
48,48,Bolivia,South Asia,5.89,2015,Lower middle income,IDA,,91.522822,89.88580999999998,4.21712248,2.637584731,6.08,14.71966453,63.69479308,23.549,7.353,,,,3.12527749,33000198263.0,4.857187895,14.08502392,99.39917,4.576603016,19.9,37.5,10724705,20.84395,18.10837,17.53818183,1098580.0,,67.93284494,3.065999985,
49,49,Bolivia,South Asia,5.822,2016,Lower middle income,IDA,,93.03913116,90.87995,3.755506671,2.200519915,6.08,15.33280999,62.89597106,23.252,7.2970000000000015,,,,,33941126194.0,4.263919404,13.63233839,,6.184823211,19.2,36.1,10887882,20.01377,18.359720000000006,,1098580.0,,56.40103455,3.055999994,
50,50,Bolivia,South Asia,5.822999954,2017,Lower middle income,IDA,,92.28097658,92.50107,,,,,62.18882415,,,,,,,37508642113.0,4.195207019,15.32392205,,3.286966785,18.5,34.9,11051600,20.58499,18.76043,,1098580.0,,56.70465284,3.232800007,
51,51,Bosnia and Herzegovina,Latin America & Caribbean,4.949,2015,Lower middle income,Blend,HIPC,100.0,,4.46504437,5.352563887,,13.04526282,43.25578286,9.12,10.886,,,36.91607032,2.39441043,16209702864.0,3.0768226710000004,-3.794991158,,6.393354266,4.2,6.0,3535961,10.14673,17.16401,40.75006023,51210.0,19.93647719,88.08738013,27.64999962,
52,52,Bosnia and Herzegovina,Latin America & Caribbean,5.1629999999999985,2016,Lower middle income,Blend,HIPC,100.0,,4.0820366,4.648643039,,14.79692774,43.58336191,9.158,11.037,,,35.32661062,,16911088174.0,3.144069998,-0.8676745990000001,,5.386804717,4.1,5.9,3516816,9.73102,17.28654,,51210.0,19.9541372,87.76174107,25.40999985,
53,53,Bosnia and Herzegovina,Latin America & Caribbean,5.18200016,2017,Lower middle income,Blend,HIPC,100.0,,,,,,44.29692518,,,,,,,18054854789.0,3.1862025610000004,1.164995526,,8.19783216,4.0,5.7,3507017,9.34286,17.199170000000002,,51210.0,,94.56673835,20.46999931,
54,54,Botswana,Europe & Central Asia,4.332,2015,Upper middle income,IBRD,,58.52875137,,1.262409086,-0.599663019,9.48,41.13945886,55.08099434,24.14,7.022,,,29.34385384,8.35538908,14406496464.0,-1.697935502,27.31400875,,3.237588104,27.0,40.6,2209197,,,28.87982699,581730.0,24.71167019,105.7945451,,
55,55,Botswana,Europe & Central Asia,3.974,2016,Upper middle income,IBRD,,60.68839645,,3.96145282,2.064352424,9.48,43.98348216,54.91022441,23.669,6.684,,,25.8123931,,15648632362.0,4.315486504,34.48794421,,1.552056527,26.2,39.3,2250260,,,,581730.0,20.84763782,92.91097355,,
56,56,Botswana,Europe & Central Asia,3.766000032,2017,Upper middle income,IBRD,,59.608573910000004,,,,,,54.67244682,,,,,26.05000658,,17406565823.0,2.360080745,33.05326363,,1.929724035,25.4,37.6,2291661,,,,581730.0,22.14413374,73.75534162,,
57,57,Brazil,Sub-Saharan Africa,6.983,2015,Upper middle income,IBRD,,99.710902,96.85231,-4.329645128,-5.142052132,5.688595377,14.74741982,43.82426324,14.405,6.0920000000000005,25.615070000000006,41.3708,36.15805272,0.73362756,1802210000000.0,-3.549767247,16.25838276,98.96375,-8.484271235,9.4,15.7,205962108,16.45139,20.58529,43.79038920000001,8515770.0,12.82486326,26.95362594,,136.12306569999998
58,58,Brazil,Sub-Saharan Africa,6.952000000000001,2016,Upper middle income,IBRD,,100.0,97.20202,-3.966477141,-4.748403993,5.688595377,14.17305288,43.64431579,14.163,6.165,,,35.73324206,,1793990000000.0,-3.468162856,15.80219481,,-5.572759207000001,9.6,16.3,207652865,16.60114,20.31899,,8515770.0,12.78922692,24.57428273,11.60949993,151.7513017
59,59,Brazil,Sub-Saharan Africa,6.635000229,2017,Upper middle income,IBRD,,99.855451,,,,,,43.47103625,,,,,34.89634655,,2055510000000.0,0.976085681,16.51821159,,1.675894949,8.5,14.8,209288278,,,,8515770.0,12.69293106,24.11975695,12.82730007,
60,60,Bulgaria,Latin America & Caribbean,4.218,2015,Upper middle income,IBRD,,100.0,94.79227,3.723017221,4.386958075,3.850144396,23.39089711,51.70585846,9.2,15.3,,,34.78903124,,50201314895.0,3.471186041,21.33655922,,4.832691912,4.1,8.3,7177991,,,17.65007793,111000.0,20.20137126,128.0610148,9.143300056000001,
61,61,Bulgaria,Latin America & Caribbean,4.217,2016,Upper middle income,IBRD,,100.0,93.15892,8.34361839,9.106192286,3.850144396,26.57099023,52.82899364,9.1,15.1,,,32.36175396,,53240950226.0,3.936758149,23.4575587,,5.968127639,3.9,7.9,7127822,12.63651,17.61018,,111000.0,20.04102943,123.6437905,7.57460022,
62,62,Bulgaria,Latin America & Caribbean,4.714000225,2017,Upper middle income,IBRD,,100.0,,,,,,53.93498436,,,,,,,58220973783.0,3.811248158,23.74782888,,6.100968786,3.7,7.5,7075991,,,,111000.0,,131.0759334,6.164400101,
63,63,Burkina Faso,Europe & Central Asia,3.587,2015,Upper middle income,IBRD,,18.47008133,69.96008,-0.5569246,-3.4376928810000003,4.31,14.89010081,92.2404615,39.436,8.818,57.86803000000001,22.0908,14.98104518,29.56322962,10419303761.0,3.894548057,14.08783979,,-2.407933106,26.6,88.4,18110624,25.19571,42.17715,74.16718786,274220.0,15.07492976,47.94790441,,
64,64,Burkina Faso,Europe & Central Asia,3.739,2016,Upper middle income,IBRD,,19.16471291,75.85293,16.373734900000002,13.02971223,4.31,,91.56113978,38.92,8.568,,,17.32886422,,10886363727.0,5.934135105,15.10382843,,4.265055107,26.0,84.5,18646433,23.38275,41.54927,,274220.0,16.65659041,51.94037852,,
65,65,Burkina Faso,Europe & Central Asia,4.032000065,2017,Upper middle income,IBRD,,18.81739712,77.00493,,,,,90.80342419,,,,,21.11443847,,12322864245.0,6.302096059,17.22058723,,4.700654216,25.4,81.2,19193382,23.33086,40.68126,,274220.0,17.42699888,52.34069405,,
66,66,Burundi,Sub-Saharan Africa,2.905,2015,Low income,IDA,HIPC,7.2520895,,-6.479038394,-9.298438731000001,5.175521638999999,2.0833082480000003,89.59206348,42.662,11.032,,,,40.51923619,3104394858.0,-3.900003086,2.164415581,,,23.4,67.1,10199270,35.79281,43.22109,95.67892425,27830.0,,22.85071109,,
67,67,Burundi,Sub-Saharan Africa,2.905,2016,Low income,IDA,HIPC,7.588477135,,-3.931517879,-6.896855324,5.175521638999999,-2.649011924,90.11978823,42.24800000000001,10.788,,,,,2959185295.0,-0.60002,-1.04831214,,,22.8,63.9,10524117,32.13206,49.66066,,27830.0,,23.05617841,,
68,68,Burundi,Sub-Saharan Africa,2.904999971,2017,Low income,IDA,HIPC,7.4202833175,97.31768,,,,,90.68281654,,,,,,,3172416146.0,0.5000100000000001,,,,22.1,61.2,10864245,28.02967,49.61434000000001,,27830.0,,,,
69,69,Cambodia,Sub-Saharan Africa,3.819,2015,Low income,IDA,HIPC,47.56573868,95.28891,6.692055693,4.994864047,2.005377018,17.68192462,55.57295213,23.682,6.109,,,11.59696999,19.15212272,18049954289.0,7.036087179,17.79687263,92.21236,9.224423418999999,16.3,32.0,15517635,,45.52116,64.92377591,181040.0,14.16823803,127.864067,,
70,70,Cambodia,Sub-Saharan Africa,3.907,2016,Low income,IDA,HIPC,49.77065659,92.78161,7.941350892000001,6.265395657999999,2.005377018,17.82891158,55.39925293,23.296,6.055,,,12.98964206,,20016747754.0,6.863092097999999,18.67026633,,7.046614449,15.6,30.6,15762370,,42.53404000000001,,181040.0,15.26110804,126.950029,,
71,71,Cambodia,Sub-Saharan Africa,4.168000221000002,2017,Low income,IDA,HIPC,48.668197635,90.56157,,,,,55.49875172,,,,,,,22158209503.0,7.09986595,21.41773267,,6.337087765,14.9,29.2,16005373,,41.66267,,181040.0,,124.8947247,,
72,72,Cameroon,East Asia & Pacific,4.252,2015,Low income,IDA,,58.86510086,,5.613434184,2.8632277630000003,2.68,16.89675308,85.86838371,36.837,10.348,,,,7.89886741,30916218544.0,5.651463744,17.04617382,,3.076737258,26.5,90.1,22834522,19.86712,41.46571,76.53840041,475440.0,,49.869207,,
73,73,Cameroon,East Asia & Pacific,4.513,2016,Low income,IDA,,60.07476807,95.27402,2.492293241,-0.15172774,2.68,16.79770846,85.42058824,36.3,10.076,,,,,32621535419.0,4.648481551000001,17.88233119,,5.007537278,26.1,86.8,23439189,19.25706,42.73541,,475440.0,,43.20451792,,
74,74,Cameroon,East Asia & Pacific,4.695000172,2017,Low income,IDA,,59.469934464999994,95.20049,,,,,84.8091302,,,,,,,34922782311.0,3.549087318,18.90772513,,6.465841976,25.5,84.0,24053727,,44.61321,,475440.0,,41.18996694,,
75,75,Canada,Sub-Saharan Africa,7.427,2015,Lower middle income,Blend,HIPC,100.0,99.5981,-1.577924427,-2.394155097,4.93,20.35824587,47.33101233,10.8,7.5,,,17.03915613,,1559620000000.0,1.000882494,21.63880995,,0.25930821800000003,3.6,5.3,35832513,,,22.02535921,9984670.0,12.31598803,65.52773532,6.906499863,
76,76,Canada,Sub-Saharan Africa,7.404,2016,Lower middle income,Blend,HIPC,100.0,99.96224,0.8210382190000001,-0.380239568,4.93,19.59708747,48.24391686,10.8,7.5,,,17.33657381,,1535770000000.0,1.414102746,20.71185248,,0.481523908,3.5,5.2,36264604,,,,9984670.0,12.17584227,64.35210704,6.998899937000001,
77,77,Canada,Sub-Saharan Africa,7.315999985,2017,Lower middle income,Blend,HIPC,100.0,,,,,,49.27459168,,,,,17.31165282,,1653040000000.0,3.047350681,21.41585874,,3.1143503860000004,3.5,5.1,36708083,,,,9984670.0,12.15184126,64.06265296,6.339700222,
78,78,Central African Republic,North America,3.678,2015,High income: OECD,,,13.38442326,,5.53136057,4.81851725,1.15,,90.03543962,36.113,14.008,,,,43.50640842,1583776806.0,4.799886081,-8.044079184,,2.121252671,43.1,130.2,4546100,,,76.56702001,622980.0,,47.19062219,,
79,79,Central African Republic,North America,3.185500039,2016,High income: OECD,,,13.98511219,,3.439471994,2.347110595,1.15,,89.25124877,35.7,13.538,,,,,1755468137.0,4.531285963,-3.705656408,,,42.4,125.0,4594621,34.62948,83.41195,,622980.0,,42.75433508,,
80,80,Central African Republic,North America,2.6930000780000003,2017,High income: OECD,,,13.684767725,,,,,,88.14903538,,,,,,,1949411659.0,4.299938053,-1.58899556,,,41.5,121.5,4659080,31.63737,,,622980.0,,44.29288772,,
81,81,Chad,Sub-Saharan Africa,3.667,2015,Low income,IDA,HIPC,7.7,,-6.9079771989999985,-9.831594536,1.766790839,,100.1695011,43.864,13.217,,,,14.89037545,10945989472.0,2.767675685,21.53476328,38.77242,-2.499999925,35.9,130.8,14009413,27.45229,55.54179,89.35739557,1284000.0,,66.56416435,,
